"Madrid, Ciudad Universitaria"
Actualizado: sábado, 14 septiembre 2019 a las 16:42 hora oficial

"Fecha y hora oficial","Temperatura (ºC)","Velocidad del viento (km/h)","Dirección del viento","Racha (km/h)","Dirección de racha","Precipitación (mm)","Presión (hPa)","Tendencia (hPa)","Humedad (%)"
"14/09/2019 16:00","16.6","7","Sudeste","21","Este","0.3","","","77"
"14/09/2019 15:00","16.6","11","Nordeste","23","Este","0.1","","","83"
"14/09/2019 14:00","15.9","11","Nordeste","23","Este","3.5","","","83"
"14/09/2019 13:00","18.3","7","Sur","36","Este","0.1","","","55"
"14/09/2019 12:00","20.2","9","Este","23","Nordeste","0.0","","","51"
"14/09/2019 11:00","19.2","10","Este","28","Este","0.0","","","54"
"14/09/2019 10:00","17.8","15","Nordeste","26","Nordeste","0.0","","","61"
"14/09/2019 09:00","16.6","14","Nordeste","29","Este","0.0","","","63"
"14/09/2019 08:00","16.5","12","Nordeste","26","Nordeste","0.0","","","64"
"14/09/2019 07:00","17.3","12","Nordeste","26","Nordeste","0.0","","","64"
"14/09/2019 06:00","17.0","11","Nordeste","20","Nordeste","0.0","","","65"
"14/09/2019 05:00","16.9","13","Nordeste","24","Nordeste","0.0","","","66"
"14/09/2019 04:00","16.5","13","Nordeste","22","Nordeste","0.0","","","68"
"14/09/2019 03:00","17.2","8","Nordeste","19","Nordeste","0.0","","","65"
"14/09/2019 02:00","17.7","5","Este","24","Nordeste","0.0","","","63"
"14/09/2019 01:00","18.0","12","Nordeste","25","Este","0.0","","","62"
"14/09/2019 00:00","18.0","14","Nordeste","28","Nordeste","0.0","","","62"
"13/09/2019 23:00","17.8","14","Nordeste","26","Nordeste","0.0","","","62"
"13/09/2019 22:00","17.8","12","Nordeste","26","Nordeste","0.0","","","65"
"13/09/2019 21:00","17.5","11","Nordeste","21","Nordeste","0.0","","","66"
"13/09/2019 20:00","17.9","13","Nordeste","23","Nordeste","0.0","","","65"
"13/09/2019 19:00","17.7","10","Nordeste","30","Este","0.0","","","65"
"13/09/2019 18:00","17.3","18","Nordeste","34","Nordeste","0.0","","","66"
"13/09/2019 17:00","17.5","17","Nordeste","26","Nordeste","0.0","","","77"
