"Madrid, Ciudad Universitaria"
Actualizado: domingo, 15 septiembre 2019 a las 12:42 hora oficial

"Fecha y hora oficial","Temperatura (ºC)","Velocidad del viento (km/h)","Dirección del viento","Racha (km/h)","Dirección de racha","Precipitación (mm)","Presión (hPa)","Tendencia (hPa)","Humedad (%)"
"15/09/2019 12:00","17.8","7","Nordeste","21","Este","0.0","","","73"
"15/09/2019 11:00","17.2","8","Nordeste","21","Este","0.7","","","85"
"15/09/2019 10:00","15.6","6","Nordeste","19","Nordeste","0.0","","","85"
"15/09/2019 09:00","15.3","6","Nordeste","25","Nordeste","0.2","","","85"
"15/09/2019 08:00","15.2","5","Nordeste","16","Nordeste","1.3","","","85"
"15/09/2019 07:00","15.5","0","Calma","10","Nordeste","0.2","","","84"
"15/09/2019 06:00","16.1","3","Este","21","Este","1.8","","","76"
"15/09/2019 05:00","16.8","12","Este","22","Este","0.1","","","69"
"15/09/2019 04:00","16.2","7","Nordeste","17","Nordeste","0.1","","","82"
"15/09/2019 03:00","16.6","9","Nordeste","17","Este","0.0","","","77"
"15/09/2019 02:00","16.3","11","Este","20","Este","0.0","","","80"
"15/09/2019 01:00","16.1","7","Nordeste","15","Nordeste","0.0","","","85"
"15/09/2019 00:00","16.1","5","Nordeste","10","Este","0.0","","","86"
"14/09/2019 23:00","16.1","0","Calma","5","Oeste","0.0","","","86"
"14/09/2019 22:00","15.9","0","Calma","10","Nordeste","0.0","","","86"
"14/09/2019 21:00","15.8","9","Nordeste","18","Nordeste","0.5","","","86"
"14/09/2019 20:00","15.8","7","Nordeste","18","Nordeste","0.4","","","84"
"14/09/2019 19:00","16.8","7","Nordeste","18","Este","0.4","","","83"
"14/09/2019 18:00","16.0","13","Este","27","Nordeste","1.0","","","84"
"14/09/2019 17:00","16.5","8","Este","19","Este","1.4","","","81"
"14/09/2019 16:00","16.6","7","Sudeste","21","Este","0.3","","","77"
"14/09/2019 15:00","16.6","11","Nordeste","23","Este","0.1","","","83"
"14/09/2019 14:00","15.9","11","Nordeste","23","Este","3.5","","","83"
"14/09/2019 13:00","18.3","7","Sur","36","Este","0.1","","","55"
